NAME,density_100km2,AREA_KM2
Cuba,7.976848187329984,127870.0529389685
eSwatini,7.91565787601116,21476.42086897091
Papua New Guinea,7.64678757117806,474709.1463194346
Mali,7.471187892543334,1387998.8228310847
Japan,7.453778241979486,599695.8662957097
Vanuatu,7.4514856713196895,13420.14256095182
Mozambique,6.955421603999605,874138.240089399
South Africa,6.886928196672889,1605940.948439559
Malawi,6.777511003897297,126890.24031174144
Jamaica,6.511605615254148,12285.756344424677
Benin,6.150611136969804,120313.24750024316
Palestine,5.912609422453673,8456.503115210087
Nigeria,5.8878908909670535,940914.1749720987
Ghana,5.426000470469426,245116.08637677395
Panama,5.084808385078444,76699.0553949819
Chile,5.032102808483433,1255936.1842419733
Belgium,4.858280000633004,76158.64049659371
Tanzania,4.827116158080961,961236.4500970803
Burkina Faso,4.729613511819633,287549.9227582265
Gabon,4.085617528896099,261894.31400082752
Ethiopia,4.0745477845138325,1163319.2812256017
Israel,3.9380006256792637,30472.31613359667
Colombia,3.715864921688383,1151817.972450756
Syria,3.380464248294615,278068.3157569892
Libya,3.196020879060885,2061938.9701660515
Ecuador,3.1513139866264264,257035.6376538438
United States of America,3.0909355680643418,21721578.635832112
Baikonur,2.9717517547430066,13460.074495172343
Thailand,2.9435628806017724,557147.9416348408
Paraguay,2.7911837414615945,476500.3393519159
Netherlands,2.720479692283932,99247.20289800293
Italy,2.705830580641506,561749.8785306928
Egypt,2.654139321444207,1258411.7092175074
Haiti,2.6472050368201154,30220.552955768726
Brazil,2.5381175572284014,9018494.80328864
Cameroon,2.4106580402087636,472899.9223387469
Peru,2.3881035866964635,1339975.375367472
Algeria,2.28140259124007,3002538.8882707637
Slovakia,2.2485464611008066,111182.93721073883
Togo,2.2203761983422146,58548.636981904725
Myanmar,2.208348558035085,769806.0135545828
Saudi Arabia,2.155840947303764,2328557.682457206
Solomon Is.,2.138391009817719,28058.47935411706
Mongolia,2.1333253768649687,3351575.00001584
Lebanon,2.0595473712384784,14566.307344491883
N. Cyprus,2.003275433444106,4991.824805043222
Puerto Rico,1.9927451420587967,10036.406351158925
Portugal,1.9448374185138533,154254.53929678342
Germany,1.9263643144855769,908447.0610468747
Sudan,1.9043271743405916,2026962.6207148968
Burundi,1.8302925294274797,27318.0375246574
China,1.7797729313653063,14923252.023855194
North Macedonia,1.761019070863438,45428.241705966044
Uzbekistan,1.759973919930916,806830.1376055273
Namibia,1.7063450129144628,966979.12058346
New Zealand,1.685284127916944,486564.838780949
Moldova,1.668832868157224,71906.541565488
Kazakhstan,1.6541878086487471,6135941.727373271
Taiwan,1.6123838979481155,43413.97857487939
Indonesia,1.6091992427778483,1901566.8903234976
Argentina,1.5870077345626006,4316299.0644705
North Korea,1.5723808064622167,209872.82383742943
Russia,1.4541417150772777,82997412.66523404
Chad,1.3880852282231273,1375996.2004962547
Turkey,1.364740633455783,1296949.7328719692
Eritrea,1.2820114682867931,132604.11798591653
Ukraine,1.2702046123413948,1338367.0500663307
Niger,1.2691292314710354,1307983.425829622
Kosovo,0.993252391159776,20135.86896745036
Austria,0.9752807191921881,184562.24598502426
Slovenia,0.9457585497023122,42294.09294009601
Uganda,0.9436107305332672,243744.57873112464
Malaysia,0.9043120945531636,331743.87670689647
Jordan,0.9015941322640219,122006.1179011619
Tunisia,0.8719574111410231,229369.00064681447
Central African Rep.,0.8085205870953274,630781.7118574734
Spain,0.8018591429369882,872971.277020168
Rwanda,0.7840931086624507,25507.17482279254
Greece,0.7325703973780754,218409.04378971914
Serbia,0.7272238623743882,151260.16305467434
Uruguay,0.714771565400047,251828.70823807415
Bahamas,0.656233470042294,15238.47907263173
Timor-Leste,0.6432873527482627,15545.152500321728
France,0.6309695399736142,1252041.4218934183
Yemen,0.6085193563624581,492999.92985154636
Albania,0.5997080403652274,50024.34181427639
Kenya,0.5926464849869987,590571.2914296256
Bulgaria,0.5730378199735392,209410.26197108798
Morocco,0.5040872052695409,793513.4949241882
Belarus,0.49414757528020303,586869.2158118098
Tajikistan,0.4723703672980882,232868.1213201182
Azerbaijan,0.471565548064243,148441.7177788901
Denmark,0.44109312676958157,136025.69697564756
Botswana,0.4119733062129061,679655.6858839226
United Kingdom,0.4069463677038472,712624.6184142029
Kyrgyzstan,0.36639974455487845,354803.74081027484
Romania,0.3486730150575026,487562.82436128263
Sri Lanka,0.29441007347617965,67932.45816576373
Croatia,0.2718577794306312,110351.81727310095
Lesotho,0.25033004980631307,39947.261656110655
Georgia,0.2366769757795047,126755.04197733577
Switzerland,0.22625885701363468,88394.3296805162
Lithuania,0.19974871064507693,200251.60548382168
Armenia,0.19640437977767505,50915.36151749648
Bangladesh,0.18239414501842238,164478.96393258622
Poland,0.1683817615418,831443.9682663947
Ireland,0.15536207995866094,193097.31182784413
Hungary,0.1488339369105395,201566.93172762255
Czechia,0.10618395573590741,188352.37264792118
Finland,0.1049188109326454,1810924.0689162407
Bosnia and Herz.,0.09922167510114781,100784.4303153104
Latvia,0.0928287525043352,215450.4877038607
